"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Antsp_t","Year_t1","Recruit","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","Antsp_t1","NP_adult","NP_juv","MA","comments","X","antcount_t1","volume_t","volume_t1","ant_t","ant_t1","repro_state_t","repro_state_t1"
"1","T1","AD10",0,2004,89,72,72,10,1,1,0,"0","vacant",2005,0,0,1,102,63,36,13,3,3,0,"0","","",NA,NA,"","",0,120787.95434522,65430.3428953963,"vacant",NA,1,1
"2","T1","AD11",0,2004,78,42,42,5,1,1,0,"3","L",2005,0,0,1,93,34,29,3,3,3,0,"27","crem","",NA,NA,"","",27,36021.5013660606,24158.6511565647,"liom","crem",1,1
"3","T1","AD14",0,2004,99,126,126,14,9,9,0,"45","L",2005,0,0,1,100,117,45,12,12,13,1,"36","liom","",NA,NA,"","",36,411476.38098923,171766.578335022,"liom","liom",1,1
"4","T1","AD15",0,2004,127,54,54,0,9,9,0,"28","L",2005,0,0,1,105,49,27,3,2,2,0,"4","liom","",NA,NA,"","",4,96952.6908824346,39694.023178107,"liom","liom",1,1
"5","T1","AD16",0,2004,93,115,115,6,10,10,0,"19","L",2005,0,0,1,68,115,38,11,4,4,0,"17","liom","",NA,NA,"","",17,321993.612038869,104183.851772835,"liom","liom",1,1
"6","T1","AD17",0,2004,79,69,69,12,7,11,4,"2","L",2005,0,0,1,95,62,49,11,18,18,0,"49","crem","",NA,NA,"","",49,98467.7239396283,76608.7186054913,"liom","crem",1,1
"7","T1","AD18",0,2004,111,61,61,7,6,6,0,"0","",2005,0,0,1,107,53,43,5,11,11,0,"18","crem","",NA,NA,"","",18,108131.26294207,64540.8794753487,NA,"crem",1,1
"8","T1","AD19",0,2004,94,67,67,3,19,21,2,"41","L",2005,0,0,1,98,61,42,3,11,11,0,"41","liom","",NA,NA,"","",41,110470.440472056,68047.0277764488,"liom","liom",1,1
"9","T1","AD20",0,2004,120,60,60,5,26,27,1,"18","L",2005,0,0,1,125,81,34,12,2,7,5,"8","liom","",NA,NA,"","",8,113097.335529233,108196.778238867,"liom","liom",1,1
"10","T1","AD21",0,2004,110,100,100,9,3,4,1,"0","",2005,0,0,1,117,119,56,19,6,6,0,"25","liom","",NA,NA,"","",25,287979.326579064,234514.982851957,NA,"liom",1,1
"11","T1","AD22",0,2004,73,35,35,6,3,3,0,"27","L",2005,0,0,1,84,45,34,6,6,6,0,"3","liom","",NA,NA,"","",3,23411.4102539389,34311.6895643443,"liom","liom",1,1
"12","T1","AD23",0,2004,85,82,82,20,14,14,0,"8","L",2005,0,0,1,107,93,72,7,31,31,0,"29","liom","",NA,NA,"","",29,149628.822102726,190660.312903252,"liom","liom",1,1
"13","T1","AD27",0,2004,120,44,44,10,3,6,3,"0","vacant",2005,0,0,1,132,63,52,7,23,25,2,"0","","",NA,NA,"","",0,60821.2337734984,114255.797820244,"vacant",NA,1,1
"14","T1","AD28",0,2004,90,62,62,8,1,1,0,"39","L",2005,0,0,1,96,70,43,6,5,5,0,"23","crem","",NA,NA,"","",23,90572.1162029937,80229.9931873761,"liom","crem",1,1
"15","T1","AD29",0,2004,150,130,130,10,22,22,0,"47","L",2005,0,0,1,54,141,61,26,26,27,1,"8","dropoff","",NA,NA,"","",8,663661.448070844,144213.239966713,"liom","other",1,1
"16","T1","AD3",0,2004,90,74,74,8,7,7,0,"0","",2005,0,0,1,95,59,50,6,9,13,4,"33","crem","",NA,NA,"","",33,129025.210282933,73872.9150029902,NA,"crem",1,1
"17","T1","AD4",0,2004,99,94,94,6,17,18,1,"0","",2005,0,0,1,103,98,29,15,17,18,1,"4","drpoff","",NA,NA,"","",4,229012.679668735,108730.979889671,NA,"other",1,1
"18","T1","AD6",0,2004,92,58,58,7,8,8,0,"26","L",2005,0,0,1,78,84,54,16,1,1,0,"36","liom","",NA,NA,"","",36,81023.7689311831,97221.2970543165,"liom","liom",1,1
"19","T1","AD8",0,2004,172,124,124,13,20,20,0,"7","L",2005,0,0,1,174,82,79,14,21,21,0,"55","liom","",NA,NA,"","",55,692373.510529552,295195.434004666,"liom","liom",1,1
"20","T1","AD9",0,2004,84,88,88,3,12,12,0,"0","vacant",2005,0,0,1,87,63,31,8,6,6,0,"0","","",NA,NA,"","",0,170299.454565796,50313.3917454039,"vacant",NA,1,1
"21","T1","LJ11",0,2004,56,25,25,6,0,0,NA,"16","C",2005,0,0,1,58,39,28,4,0,0,NA,"18","crem","",NA,NA,"","",18,9162.97857297023,17040.6530515405,"crem","crem",0,0
"22","T1","LJ12",0,2004,73,66,66,12,0,0,NA,"13","L",2005,0,0,1,76,72,31,9,0,0,NA,"23","crem","",NA,NA,"","",23,83249.0637274759,52771.1643980623,"liom","crem",0,0
"23","T1","LJ13",0,2004,64,28,28,7,0,0,NA,"27","vacant",2005,0,0,1,73,37,22,5,0,0,NA,"0","","",NA,NA,"","",0,13136.0460822101,16631.6569579513,"vacant",NA,0,0
"24","T1","LJ14",0,2004,63,62,62,7,0,0,NA,"0","vacant",2005,0,0,1,66,40,29,7,1,1,0,"0","","",NA,NA,"","",0,63400.4813420956,20566.0436076439,"vacant",NA,0,1
"25","T1","LJ15",0,2004,43,20,20,4,0,0,NA,"1","vacant",2005,0,0,1,46,19,21,5,0,0,NA,"0","","",NA,NA,"","",0,4502.94947014537,4817.10873550435,"vacant",NA,0,0
