"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Antsp_t","Year_t1","Recruit","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","Antsp_t1","NP_adult","NP_juv","MA","comments","X","antcount_t","antcount_t1","volume_t","volume_t1","ant_t","ant_t1"
"1","T1","AD10",0,2004,89,72,72,10,1,1,0,"0","vacant",2005,0,0,1,102,63,36,13,3,3,0,"0","vacant","",NA,NA,"","",0,0,120787.95434522,65430.3428953963,"vacant","vacant"
"2","T1","AD11",0,2004,78,42,42,5,1,1,0,"3","L",2005,0,0,1,93,34,29,3,3,3,0,"27","crem","",NA,NA,"","",3,27,36021.5013660606,24158.6511565647,"liom","crem"
"3","T1","AD14",0,2004,99,126,126,14,9,9,0,"45","L",2005,0,0,1,100,117,45,12,12,13,1,"36","liom","",NA,NA,"","",45,36,411476.38098923,171766.578335022,"liom","liom"
"4","T1","AD15",0,2004,127,54,54,0,9,9,0,"28","L",2005,0,0,1,105,49,27,3,2,2,0,"4","liom","",NA,NA,"","",28,4,96952.6908824346,39694.023178107,"liom","liom"
"5","T1","AD16",0,2004,93,115,115,6,10,10,0,"19","L",2005,0,0,1,68,115,38,11,4,4,0,"17","liom","",NA,NA,"","",19,17,321993.612038869,104183.851772835,"liom","liom"
"6","T1","AD17",0,2004,79,69,69,12,7,11,4,"2","L",2005,0,0,1,95,62,49,11,18,18,0,"49","crem","",NA,NA,"","",2,49,98467.7239396283,76608.7186054913,"liom","crem"
"7","T1","AD18",0,2004,111,61,61,7,6,6,0,"0","vacant",2005,0,0,1,107,53,43,5,11,11,0,"18","crem","",NA,NA,"","",0,18,108131.26294207,64540.8794753487,"vacant","crem"
"8","T1","AD19",0,2004,94,67,67,3,19,21,2,"41","L",2005,0,0,1,98,61,42,3,11,11,0,"41","liom","",NA,NA,"","",41,41,110470.440472056,68047.0277764488,"liom","liom"
"9","T1","AD20",0,2004,120,60,60,5,26,27,1,"18","L",2005,0,0,1,125,81,34,12,2,7,5,"8","liom","",NA,NA,"","",18,8,113097.335529233,108196.778238867,"liom","liom"
"10","T1","AD21",0,2004,110,100,100,9,3,4,1,"0","vacant",2005,0,0,1,117,119,56,19,6,6,0,"25","liom","",NA,NA,"","",0,25,287979.326579064,234514.982851957,"vacant","liom"
"11","T1","AD22",0,2004,73,35,35,6,3,3,0,"27","L",2005,0,0,1,84,45,34,6,6,6,0,"3","liom","",NA,NA,"","",27,3,23411.4102539389,34311.6895643443,"liom","liom"
"12","T1","AD23",0,2004,85,82,82,20,14,14,0,"8","L",2005,0,0,1,107,93,72,7,31,31,0,"29","liom","",NA,NA,"","",8,29,149628.822102726,190660.312903252,"liom","liom"
"13","T1","AD27",0,2004,120,44,44,10,3,6,3,"0","vacant",2005,0,0,1,132,63,52,7,23,25,2,"0","vacant","",NA,NA,"","",0,0,60821.2337734984,114255.797820244,"vacant","vacant"
