"","X","Plot","TagID","Year_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","logsize_t","logsize_t1","ant_t","ant_t1","Antcount_t","Year_t1","Recruit","Survival_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","flower1_YN","Newplant","Damage","NP_adult","NP_juv","CV","WVL","MA","plot_ID"
"1",1,"T1","AD10",2004,1,1,0,11.7017918438256,11.088741388495,"vacant","vacant",0,2005,"0",1,3,3,0,0,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD10"
"2",2,"T1","AD11",2004,1,1,0,10.4918712993177,10.0923978208778,"liom","crem",3,2005,"0",1,3,3,0,27,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD11"
"3",3,"T1","AD14",2004,9,9,0,12.9275069000989,12.0538917313944,"liom","liom",45,2005,"0",1,12,13,1,36,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD14"
"4",4,"T1","AD15",2004,9,9,0,11.4819784156485,10.5889559056717,"liom","liom",28,2005,"0",1,2,2,0,4,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD15"
"5",5,"T1","AD16",2004,10,10,0,12.6822869859412,11.5539124229025,"liom","liom",19,2005,"0",1,4,4,0,17,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD16"
"6",6,"T1","AD17",2004,7,11,4,11.4974840977229,11.2464661691667,"liom","crem",2,2005,"0",1,18,18,0,49,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD17"
"7",7,"T1","AD18",2004,6,6,0,11.5911011657204,11.0750540923391,"vacant","crem",0,2005,"0",1,11,11,0,18,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD18"
"8",8,"T1","AD19",2004,19,21,2,11.6125032571133,11.1279543300714,"liom","liom",41,2005,"0",1,11,11,0,41,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD19"
"9",9,"T1","AD20",2004,26,27,1,11.6360041032876,11.5917068689703,"liom","liom",18,2005,"0",1,2,7,5,8,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD20"
"10",10,"T1","AD21",2004,3,4,1,12.57064397383,12.3652747575863,"vacant","liom",0,2005,"0",1,6,6,0,25,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD21"
"11",11,"T1","AD22",2004,3,3,0,10.0609788001886,10.4432413787189,"liom","liom",27,2005,"0",1,6,6,0,3,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD22"
"12",12,"T1","AD23",2004,14,14,0,11.9159129870802,12.1582486572046,"liom","liom",8,2005,"0",1,31,31,0,29,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD23"
"13",13,"T1","AD27",2004,3,6,3,11.01569424668,11.6461950542544,"vacant","vacant",0,2005,"0",1,23,25,2,0,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD27"
"14",14,"T1","AD28",2004,1,1,0,11.4139016764818,11.292652703834,"liom","crem",39,2005,"0",1,5,5,0,23,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD28"
"15",15,"T1","AD29",2004,22,22,0,13.4055274310688,11.8790483163082,"liom","other",47,2005,"0",1,26,27,1,8,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD29"
"16",16,"T1","AD3",2004,7,7,0,11.7677630928,11.2101015310003,"vacant","crem",0,2005,"0",1,9,13,4,33,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD3"
"17",17,"T1","AD4",2004,17,18,1,12.341532650736,11.5966320360883,"vacant","other",0,2005,"0",1,17,18,1,4,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD4"
"18",18,"T1","AD6",2004,8,8,0,11.3024978342033,11.4847450719455,"liom","liom",26,2005,"0",1,1,1,0,36,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD6"
"19",19,"T1","AD8",2004,20,20,0,13.4478808440849,12.595392904125,"liom","liom",7,2005,"0",1,21,21,0,55,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD8"
"20",20,"T1","AD9",2004,12,12,0,12.0453136638611,10.8260265581361,"vacant","vacant",0,2005,"0",1,6,6,0,0,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 AD9"
"21",21,"T1","LJ11",2004,0,0,0,9.12292657653295,9.74335712426986,"crem","crem",16,2005,"0",1,0,0,NA,18,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 LJ11"
"22",22,"T1","LJ12",2004,0,0,0,11.3295921612626,10.8737201916871,"liom","crem",13,2005,"0",1,0,0,NA,23,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 LJ12"
"23",23,"T1","LJ13",2004,0,0,0,9.48311533977148,9.71906320390134,"crem","vacant",27,2005,"0",1,0,0,NA,0,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 LJ13"
"24",24,"T1","LJ14",2004,0,0,0,11.0572267325431,9.93139662616245,"vacant","vacant",0,2005,"0",1,1,1,0,0,TRUE,0,NA,NA,NA,NA,NA,NA,"T1 LJ14"
"25",25,"T1","LJ15",2004,0,0,0,8.41248789886294,8.47992917965848,"liom","vacant",1,2005,"0",1,0,0,NA,0,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 LJ15"
"26",26,"T1","LJ16",2004,0,0,0,11.1122597426779,11.1136052081843,"liom","liom",20,2005,"0",1,0,0,NA,41,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 LJ16"
"27",27,"T1","LJ17",2004,0,0,0,9.24456249774441,9.41961794314232,"vacant","crem",0,2005,"0",1,0,0,NA,12,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 LJ17"
"28",28,"T1","LJ3",2004,0,0,0,9.72176307762165,9.28623519414498,"vacant","other",0,2005,"0",1,0,0,NA,2,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 LJ3"
"29",29,"T1","LJ8",2004,0,0,0,9.20107738580467,9.52403936990225,"vacant","liom",0,2005,"0",1,0,0,NA,1,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 LJ8"
"30",30,"T1","LJ9",2004,0,0,0,10.5453599842687,10.4789678944818,"liom","crem",5,2005,"0",1,0,0,NA,26,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 LJ9"
"31",31,"T1","SJ11",2004,0,0,0,7.54165954106555,8.58352999577892,"vacant","vacant",0,2005,"0",1,0,0,NA,0,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 SJ11"
"32",32,"T1","SJ13",2004,0,0,0,7.53160920521205,7.12614409710388,"vacant","vacant",0,2005,"0",1,0,0,NA,0,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 SJ13"
"33",33,"T1","SJ17",2004,0,0,0,6.78545422453846,6.62067028840984,"vacant","vacant",0,2005,"0",1,0,0,NA,0,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 SJ17"
"34",34,"T1","SJ2",2004,0,0,0,9.46249605256874,8.37239238457805,"crem","crem",2,2005,"0",1,0,0,NA,8,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 SJ2"
"35",35,"T1","SJ20",2004,0,0,0,8.06078396764623,7.31106643559789,"vacant","vacant",0,2005,"0",1,0,0,NA,0,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 SJ20"
"36",36,"T1","SJ3",2004,0,0,0,9.0998041591121,9.05415816964785,"crem","crem",3,2005,"0",1,0,0,NA,2,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 SJ3"
"37",37,"T1","SJ4",2004,0,0,0,9.96380386911723,9.47050527478392,"crem","crem",15,2005,"0",1,0,0,NA,13,FALSE,0,NA,NA,NA,NA,NA,NA,"T1 SJ4"
